DATE,DEXKOUS
2013-04-29,1104.0000
2013-04-30,1101.5200
2013-05-01,1100.3500
2013-05-02,1101.4000
2013-05-03,1096.6700
2013-05-06,1094.3400
2013-05-07,1090.0000
2013-05-08,1086.0000
2013-05-09,1091.1200
2013-05-10,1106.0000
2013-05-13,1113.1200
2013-05-14,1109.6200
2013-05-15,1114.6200
2013-05-16,1117.5400
2013-05-17,1117.3000
2013-05-20,1118.1900
2013-05-21,1110.6200
2013-05-22,1113.8500
2013-05-23,1128.3500
2013-05-24,1126.4000
2013-05-27,.
2013-05-28,1128.0700
2013-05-29,1132.0800
2013-05-30,1127.9000
2013-05-31,1129.3400
2013-06-03,1127.1800
2013-06-04,1122.3100
2013-06-05,1118.5500
2013-06-06,1118.9000
2013-06-07,1117.1700
2013-06-10,1127.3800
2013-06-11,1133.0000
2013-06-12,1127.7600
2013-06-13,1129.0700
2013-06-14,1127.2000
2013-06-17,1127.0000
2013-06-18,1134.2400
2013-06-19,1130.2500
2013-06-20,1145.9000
2013-06-21,1156.0000
2013-06-24,1161.3400
2013-06-25,1152.7800
2013-06-26,1155.0000
2013-06-27,1147.6900
2013-06-28,1141.4500
2013-07-01,1135.2700
2013-07-02,1133.8000
2013-07-03,1140.9500
2013-07-04,.
2013-07-05,1141.6500
2013-07-08,1147.9400
2013-07-09,1141.2500
2013-07-10,1134.6600
2013-07-11,1124.2100
2013-07-12,1123.8500
2013-07-15,1121.0600
2013-07-16,1114.6500
2013-07-17,1116.8600
2013-07-18,1124.0800
2013-07-19,1120.4300
2013-07-22,1118.4600
2013-07-23,1116.6600
2013-07-24,1115.5200
2013-07-25,1116.1500
2013-07-26,1112.5500
2013-07-29,1112.2100
2013-07-30,1115.7900
2013-07-31,1122.6600
2013-08-01,1122.9900
2013-08-02,1123.8500
2013-08-05,1113.5000
2013-08-06,1113.8100
2013-08-07,1117.0500
2013-08-08,1112.2500
2013-08-09,1111.1600
2013-08-12,1113.9700
2013-08-13,1118.2200
2013-08-14,1117.9000
2013-08-15,1118.0000
2013-08-16,1113.0400
2013-08-19,1117.8800
2013-08-20,1120.6000
2013-08-21,1116.8600
2013-08-22,1120.9200
2013-08-23,1113.4800
2013-08-26,1112.6000
2013-08-27,1116.7800
2013-08-28,1114.2500
2013-08-29,1112.1900
2013-08-30,1109.4200
2013-09-02,.
2013-09-03,1097.7500
2013-09-04,1093.7700
2013-09-05,1096.8000
2013-09-06,1091.9000
2013-09-09,1086.8000
2013-09-10,1085.4300
2013-09-11,1085.7600
2013-09-12,1082.7700
