일자,종가,대비,NAV,기초지수,거래량(주),거래대금(백만원),시가,고가,저가
"2017/12/28","17,650","450","17,770.66","324.74","10,110,980","176,703","17,225","17,650","17,220"
"2017/12/27","17,200","350","17,295.92","320.25","8,424,247","143,438","16,960","17,210","16,890"
"2017/12/26","16,850","-135","16,835.36","318.89","11,265,402","191,971","17,050","17,245","16,850"
"2017/12/22","16,985","145","17,000.01","321.21","8,355,807","141,535","16,930","17,050","16,820"
"2017/12/21","16,840","-680","16,835.05","319.72","15,979,013","272,899","17,430","17,485","16,840"
"2017/12/20","17,520","-65","17,528.07","325.79","4,552,535","79,969","17,500","17,670","17,490"
"2017/12/19","17,585","30","17,596.06","326.76","8,433,845","149,014","17,685","17,885","17,500"
"2017/12/18","17,585","65","17,604.63","326.60","5,357,833","94,056","17,580","17,630","17,485"
"2017/12/15","17,520","-90","17,510.51","326.23","8,021,471","141,034","17,710","17,785","17,455"
"2017/12/14","17,610","110","17,554.97","324.74","13,202,157","235,060","17,575","18,010","17,550"
"2017/12/13","17,500","250","17,538.56","326.18","7,742,364","134,865","17,300","17,555","17,215"
"2017/12/12","17,250","-130","17,298.31","324.07","6,302,026","108,911","17,400","17,405","17,205"
"2017/12/11","17,380","45","17,415.96","325.09","6,083,153","105,507","17,395","17,425","17,225"
"2017/12/08","17,335","70","17,388.61","324.68","7,525,011","130,560","17,365","17,445","17,230"
"2017/12/07","17,265","-105","17,294.67","323.59","10,556,408","182,583","17,445","17,470","17,135"
"2017/12/06","17,370","-505","17,397.85","324.52","9,723,406","171,334","17,890","17,905","17,370"
"2017/12/05","17,875","125","17,937.62","329.61","9,405,393","167,347","17,610","17,955","17,530"
"2017/12/04","17,750","325","17,803.90","328.77","8,350,341","146,748","17,550","17,750","17,400"
"2017/12/01","17,425","30","17,433.26","324.78","10,737,171","187,727","17,550","17,580","17,345"
"2017/11/30","17,395","-640","17,475.15","325.25","15,334,329","271,033","17,790","17,910","17,395"
"2017/11/29","18,035","30","18,070.04","330.68","6,335,441","114,487","18,100","18,210","17,985"
"2017/11/28","18,035","115","18,084.36","330.99","8,353,695","150,315","17,930","18,120","17,825"
"2017/11/27","17,920","-630","17,918.81","329.53","17,423,061","315,201","18,595","18,600","17,900"
"2017/11/24","18,550","65","18,595.00","335.44","4,893,586","90,465","18,510","18,550","18,395"
"2017/11/23","18,485","-75","18,505.74","334.51","5,012,206","92,831","18,610","18,615","18,430"
"2017/11/22","18,560","175","18,615.09","335.49","10,104,304","188,147","18,595","18,750","18,475"
"2017/11/21","18,385","105","18,412.76","333.51","6,320,868","116,310","18,400","18,505","18,285"
"2017/11/20","18,280","-180","18,301.32","332.92","8,613,599","158,277","18,490","18,550","18,220"
"2017/11/17","18,460","-10","18,458.80","334.18","16,710,264","311,669","18,640","18,875","18,460"
"2017/11/16","18,470","215","18,487.83","334.36","8,776,308","161,617","18,300","18,520","18,225"
"2017/11/15","18,255","-170","18,252.23","332.17","10,529,989","192,356","18,370","18,385","18,165"
"2017/11/14","18,425","-55","18,461.47","333.62","9,655,036","177,943","18,480","18,525","18,360"
"2017/11/13","18,480","-155","18,506.75","334.33","12,222,587","226,776","18,660","18,805","18,430"
"2017/11/10","18,635","-145","18,675.36","335.96","9,614,641","179,209","18,580","18,730","18,520"
"2017/11/09","18,780","-95","18,779.40","337.14","15,097,663","283,236","18,950","18,965","18,570"
"2017/11/08","18,875","130","18,911.93","337.80","14,595,328","274,740","18,585","18,990","18,540"
"2017/11/07","18,745","-45","18,771.98","336.76","14,558,853","273,912","18,805","18,920","18,700"
"2017/11/06","18,790","-170","18,825.38","337.40","19,903,767","372,792","18,925","18,980","18,505"
"2017/11/03","18,960","100","19,028.39","338.83","14,365,863","270,573","18,965","19,030","18,695"
"2017/11/02","18,860","-105","18,896.30","337.53","12,866,372","243,223","18,980","19,020","18,770"
"2017/11/01","18,965","560","19,049.68","338.76","22,356,337","420,950","18,580","18,965","18,560"
"2017/10/31","18,405","390","18,455.63","333.57","16,874,801","307,945","18,040","18,455","17,975"
"2017/10/30","18,015","90","18,080.59","330.38","8,176,153","147,632","18,100","18,130","17,980"
"2017/10/27","17,925","225","17,990.04","329.23","10,223,450","182,456","17,735","17,975","17,675"
"2017/10/26","17,700","-230","17,706.01","326.99","7,872,512","140,434","17,895","17,935","17,700"
"2017/10/25","17,930","-10","17,994.23","329.31","9,793,889","175,554","17,975","17,995","17,805"
"2017/10/24","17,940","-15","17,969.93","328.96","6,489,139","116,551","17,925","18,000","17,910"
"2017/10/23","17,955","90","18,021.44","329.45","10,437,500","187,220","17,980","18,030","17,855"
"2017/10/20","17,865","180","17,937.92","328.89","6,684,831","118,959","17,680","17,865","17,680"
"2017/10/19","17,685","-145","17,708.37","326.47","12,518,525","222,695","17,920","17,950","17,620"
"2017/10/18","17,830","-30","17,906.43","328.40","10,232,528","182,557","17,810","17,940","17,755"
"2017/10/17","17,860","55","17,912.99","328.51","11,154,195","199,239","17,825","17,900","17,790"
"2017/10/16","17,805","90","17,859.94","327.82","11,770,279","209,553","17,780","17,895","17,720"
"2017/10/13","17,715","-35","17,826.33","327.35","12,252,765","217,320","17,730","17,810","17,670"
"2017/10/12","17,750","230","17,882.34","328.11","24,684,259","435,967","17,550","17,750","17,545"
"2017/10/11","17,520","315","17,643.16","326.12","23,569,419","410,857","17,300","17,550","17,290"
"2017/10/10","17,205","600","17,288.13","322.49","40,447,802","696,298","16,930","17,365","16,920"
"2017/09/29","16,605","230","16,664.66","316.27","10,183,165","168,305","16,400","16,615","16,395"
"2017/09/28","16,375","35","16,402.42","313.85","11,396,220","186,331","16,390","16,450","16,280"
"2017/09/27","16,340","-65","16,373.97","313.82","6,478,086","105,984","16,430","16,430","16,310"
"2017/09/26","16,405","-170","16,423.43","314.29","13,178,550","216,395","16,470","16,520","16,335"
"2017/09/25","16,575","-10","16,631.02","316.40","9,385,105","155,514","16,600","16,650","16,490"
"2017/09/22","16,585","-210","16,644.93","316.71","15,832,268","263,590","16,755","16,870","16,510"
"2017/09/21","16,795","5","16,858.57","318.25","10,892,075","182,887","16,730","16,855","16,705"
"2017/09/20","16,790","-5","16,847.88","318.48","13,723,770","230,866","16,865","17,030","16,685"
"2017/09/19","16,795","-25","16,866.23","318.51","11,070,561","186,224","16,820","16,875","16,775"
"2017/09/18","16,820","520","16,919.60","318.93","26,784,496","445,961","16,345","16,840","16,330"
"2017/09/15","16,300","145","16,362.76","313.69","14,902,234","240,853","16,115","16,310","16,045"
"2017/09/14","16,155","150","16,244.46","312.52","13,887,125","222,707","16,045","16,155","15,965"
"2017/09/13","16,005","-10","15,997.86","310.00","13,355,624","215,062","16,060","16,190","15,945"
"2017/09/12","16,015","15","16,043.15","310.42","11,555,621","185,254","16,135","16,150","15,950"
"2017/09/11","16,000","275","16,021.88","309.83","15,320,396","245,450","15,835","16,120","15,835"
"2017/09/08","15,725","20","15,738.75","307.43","7,679,635","120,641","15,740","15,775","15,655"
"2017/09/07","15,705","385","15,717.28","306.97","18,443,658","288,411","15,410","15,735","15,395"
"2017/09/06","15,320","-70","15,331.46","303.18","12,933,225","197,937","15,350","15,370","15,235"
"2017/09/05","15,390","-35","15,393.24","304.06","11,685,169","180,016","15,520","15,550","15,315"
"2017/09/04","15,425","-330","15,442.26","304.19","18,303,292","283,322","15,275","15,625","15,265"
"2017/09/01","15,755","-30","15,767.22","307.78","12,020,348","189,918","15,880","15,915","15,655"
"2017/08/31","15,785","-185","15,803.07","308.28","10,279,544","163,150","15,970","16,025","15,715"
"2017/08/30","15,970","110","16,004.74","309.65","6,892,533","109,554","15,920","15,970","15,835"
"2017/08/29","15,860","-95","15,856.25","308.64","21,930,727","343,248","15,775","15,860","15,405"
"2017/08/28","15,955","-180","15,955.62","309.53","12,220,586","195,528","16,100","16,190","15,910"
"2017/08/25","16,135","35","16,154.25","311.21","10,901,734","175,924","16,195","16,235","16,060"
"2017/08/24","16,100","140","16,128.45","310.73","13,101,802","210,926","15,985","16,180","15,985"
"2017/08/23","15,960","5","15,991.34","309.71","9,878,901","158,247","16,130","16,145","15,905"
"2017/08/22","15,955","145","15,982.35","309.34","10,541,036","168,081","15,885","16,010","15,865"
"2017/08/21","15,810","-55","15,837.32","308.14","7,852,143","124,212","15,940","15,950","15,765"
"2017/08/18","15,865","-45","15,888.39","308.39","10,381,231","163,606","15,640","15,910","15,625"
"2017/08/17","15,910","190","15,923.66","309.02","13,347,967","211,901","15,780","15,960","15,710"
"2017/08/16","15,720","175","15,745.95","307.16","12,515,498","197,346","15,815","15,885","15,685"
"2017/08/14","15,545","260","15,559.80","304.93","14,301,940","221,660","15,490","15,600","15,415"
"2017/08/11","15,285","-570","15,284.05","302.72","27,772,327","426,328","15,370","15,515","15,205"
"2017/08/10","15,855","-165","15,870.62","308.37","23,895,271","378,175","15,905","16,020","15,620"
"2017/08/09","16,020","-385","16,009.04","309.52","17,797,764","286,601","16,175","16,265","15,960"
"2017/08/08","16,405","-60","16,434.05","313.40","17,238,500","283,406","16,540","16,630","16,230"
"2017/08/07","16,465","20","16,463.48","313.96","11,244,272","186,020","16,485","16,645","16,420"
"2017/08/04","16,445","150","16,442.63","313.46","14,919,234","244,392","16,290","16,495","16,255"
"2017/08/03","16,295","-575","16,313.53","312.29","32,917,200","537,884","16,800","16,805","16,070"
"2017/08/02","16,870","70","16,894.88","317.69","8,546,343","144,366","16,905","16,985","16,845"
"2017/08/01","16,800","275","16,825.99","317.04","16,655,452","279,338","16,445","16,980","16,400"
"2017/07/31","16,525","10","16,535.03","314.60","15,509,075","255,337","16,345","16,570","16,345"
"2017/07/28","16,515","-660","16,465.53","314.13","34,557,940","578,165","17,050","17,055","16,490"
"2017/07/27","17,175","95","17,199.23","320.51","12,936,883","222,143","17,170","17,275","17,100"
"2017/07/26","17,080","-135","17,095.73","319.46","23,111,898","395,775","17,265","17,270","17,020"
"2017/07/25","17,215","-105","17,171.45","320.15","16,556,041","285,467","17,320","17,345","17,145"
"2017/07/24","17,320","25","17,353.83","322.01","11,310,807","195,422","17,300","17,320","17,235"
"2017/07/21","17,295","125","17,340.48","321.79","14,176,976","244,306","17,130","17,325","17,115"
"2017/07/20","17,170","175","17,196.04","320.61","12,197,594","208,343","17,090","17,205","17,000"
"2017/07/19","16,995","25","17,057.94","318.91","13,312,043","225,550","17,030","17,030","16,880"
"2017/07/18","16,970","10","17,007.69","318.65","13,709,972","232,184","16,950","16,970","16,880"
"2017/07/17","16,960","150","16,977.79","318.52","12,274,074","208,229","17,020","17,050","16,895"
"2017/07/14","16,810","30","16,871.35","317.35","9,677,133","163,043","16,850","16,910","16,790"
"2017/07/13","16,780","360","16,821.41","316.35","35,830,764","601,111","16,565","16,930","16,565"
"2017/07/12","16,420","-20","16,458.87","313.58","14,408,383","237,006","16,425","16,500","16,400"
"2017/07/11","16,440","195","16,465.72","313.59","18,320,630","299,916","16,275","16,450","16,255"
"2017/07/10","16,245","90","16,263.21","311.46","10,592,665","172,272","16,255","16,340","16,165"
"2017/07/07","16,155","-115","16,189.25","310.66","13,227,345","213,804","16,140","16,240","16,065"
"2017/07/06","16,270","-10","16,304.81","311.88","8,657,707","140,798","16,335","16,345","16,185"
"2017/07/05","16,280","120","16,300.95","311.77","13,805,051","223,562","16,095","16,305","16,060"
"2017/07/04","16,160","-165","16,161.12","310.46","23,907,034","388,020","16,355","16,385","16,115"
"2017/07/03","16,325","50","16,381.36","312.39","10,408,043","169,586","16,350","16,380","16,205"
"2017/06/30","16,275","-85","16,328.16","311.76","15,835,757","256,552","16,175","16,275","16,130"
"2017/06/29","16,360","200","16,414.93","312.56","13,387,527","219,448","16,315","16,465","16,315"
"2017/06/28","16,160","-85","16,193.90","310.84","10,454,493","169,132","16,115","16,250","16,095"
"2017/06/27","16,245","-5","16,299.34","312.12","14,411,535","234,364","16,195","16,340","16,175"
"2017/06/26","16,250","170","16,262.94","311.89","22,701,165","367,854","16,105","16,275","16,090"
"2017/06/23","16,080","80","16,110.23","310.26","17,169,838","275,568","15,990","16,135","15,970"
"2017/06/22","16,000","205","16,035.24","309.47","12,754,249","203,031","15,885","16,000","15,795"
"2017/06/21","15,795","-195","15,843.32","307.52","16,189,226","255,582","15,815","15,865","15,690"
"2017/06/20","15,990","65","16,007.28","309.31","15,668,631","250,747","16,075","16,095","15,935"
"2017/06/19","15,925","170","15,951.88","308.61","15,375,512","244,693","15,765","15,995","15,680"
"2017/06/16","15,755","20","15,769.54","306.79","9,000,663","141,717","15,750","15,815","15,675"
