일자,종가,대비,NAV,기초지수,거래량(주),거래대금(백만원),시가,고가,저가
"2018/05/21","16,555","65","16,571.87","316.25","9,495,567","156,590","16,530","16,635","16,260"
"2018/05/18","16,490","110","16,514.23","315.37","5,328,826","87,578","16,450","16,500","16,380"
"2018/05/17","16,380","-155","16,390.56","314.29","6,313,112","104,324","16,630","16,720","16,380"
"2018/05/16","16,535","105","16,548.44","315.97","7,163,335","117,913","16,280","16,595","16,260"
"2018/05/15","16,430","-275","16,436.72","314.94","10,163,697","167,556","16,675","16,760","16,370"
"2018/05/14","16,705","-85","16,747.80","317.72","6,692,844","112,137","16,855","16,890","16,665"
"2018/05/11","16,790","195","16,830.35","318.51","9,357,892","157,638","16,750","16,915","16,720"
"2018/05/10","16,595","190","16,660.92","317.31","8,334,275","137,889","16,545","16,645","16,455"
"2018/05/09","16,405","-85","16,428.82","314.42","11,686,025","191,786","16,490","16,535","16,180"
"2018/05/08","16,490","-150","16,499.11","315.87","8,314,664","138,788","16,770","16,845","16,430"
"2018/05/04","16,640","-255","16,681.10","316.75","13,414,217","224,518","16,875","16,935","16,625"
"2018/05/03","16,895","-90","16,946.13","320.55","7,740,451","130,610","16,910","16,990","16,765"
"2018/05/02","16,985","-215","17,127.89","322.53","7,752,917","132,020","17,150","17,190","16,945"
"2018/04/30","17,200","145","17,309.48","323.56","10,358,560","177,884","17,185","17,255","17,085"
"2018/04/27","17,055","295","17,094.81","320.80","21,488,092","367,729","17,040","17,265","16,915"
"2018/04/26","16,760","425","16,806.77","318.08","16,365,743","273,652","16,440","16,865","16,420"
"2018/04/25","16,335","-235","16,363.65","313.99","14,146,709","229,839","16,320","16,385","16,180"
"2018/04/24","16,570","-160","16,590.11","315.86","13,374,116","221,627","16,785","16,800","16,400"
"2018/04/23","16,730","-20","16,785.69","317.89","7,834,611","130,935","16,690","16,805","16,625"
"2018/04/20","16,750","-235","16,777.95","317.89","9,784,606","164,405","16,805","16,905","16,710"
"2018/04/19","16,985","185","17,007.00","320.12","12,575,783","213,205","16,885","17,045","16,840"
"2018/04/18","16,800","355","16,851.06","318.64","21,005,075","353,066","16,625","16,910","16,625"
"2018/04/17","16,445","-30","16,483.49","314.64","10,603,978","174,739","16,505","16,610","16,385"
"2018/04/16","16,475","20","16,505.56","315.17","10,248,810","169,020","16,580","16,615","16,390"
"2018/04/13","16,455","180","16,498.26","314.86","12,818,779","210,776","16,410","16,505","16,300"
"2018/04/12","16,275","10","16,268.61","313.22","12,307,557","201,427","16,370","16,445","16,265"
"2018/04/11","16,265","-110","16,295.46","312.94","12,644,161","207,035","16,440","16,495","16,230"
"2018/04/10","16,375","40","16,399.77","313.94","23,396,384","379,386","16,200","16,460","15,930"
"2018/04/09","16,335","205","16,352.16","313.45","12,511,200","203,406","16,050","16,375","16,045"
"2018/04/06","16,130","-170","16,160.64","311.61","14,362,073","230,847","16,085","16,195","15,930"
"2018/04/05","16,300","475","16,329.60","313.04","19,649,364","319,170","16,080","16,415","16,010"
"2018/04/04","15,825","-505","15,827.45","308.54","20,684,006","331,562","16,365","16,380","15,790"
"2018/04/03","16,330","-105","16,354.08","313.38","14,059,051","227,165","16,125","16,330","16,005"
"2018/04/02","16,435","-65","16,421.58","314.00","12,302,595","203,810","16,505","16,735","16,390"
"2018/03/30","16,500","70","16,515.11","314.61","12,909,484","214,629","16,595","16,715","16,500"
"2018/03/29","16,430","290","16,468.24","313.82","17,452,034","282,646","16,185","16,460","16,060"
"2018/03/28","16,140","-445","16,137.95","311.81","23,952,244","385,398","16,230","16,245","15,965"
"2018/03/27","16,585","160","16,602.46","316.34","15,096,313","250,753","16,625","16,695","16,490"
"2018/03/26","16,425","275","16,492.59","314.89","19,223,840","311,024","16,115","16,425","15,905"
"2018/03/23","16,150","-1,185","16,205.56","312.42","30,572,550","503,617","16,605","16,695","16,080"
"2018/03/22","17,335","145","17,360.99","323.32","19,855,893","345,091","17,240","17,515","17,190"
"2018/03/21","17,190","25","17,250.18","321.60","9,529,620","164,087","17,185","17,295","17,135"
"2018/03/20","17,165","150","17,239.63","321.79","11,253,365","190,739","16,785","17,165","16,755"
"2018/03/19","17,015","-240","17,085.94","320.35","14,679,351","250,988","17,250","17,275","16,955"
"2018/03/16","17,255","-80","17,332.81","322.88","16,031,335","275,312","17,280","17,350","17,025"
"2018/03/15","17,335","120","17,385.96","322.74","17,378,534","298,499","17,240","17,360","16,975"
"2018/03/14","17,215","-40","17,270.78","321.99","12,442,515","213,136","17,000","17,220","17,000"
"2018/03/13","17,255","175","17,308.79","322.98","14,802,994","253,957","17,070","17,255","17,020"
"2018/03/12","17,080","315","17,126.81","320.70","17,628,997","301,318","17,105","17,195","16,950"
"2018/03/09","16,765","375","16,808.50","317.67","27,145,068","457,201","16,555","17,050","16,450"
"2018/03/08","16,390","320","16,467.55","314.78","12,631,481","205,278","16,315","16,390","16,120"
"2018/03/07","16,070","25","16,105.32","311.14","18,816,781","304,317","16,100","16,400","15,885"
"2018/03/06","16,045","620","16,117.23","310.46","14,334,983","228,157","15,730","16,055","15,675"
"2018/03/05","15,425","-430","15,463.20","304.58","19,884,736","310,284","15,775","15,865","15,405"
"2018/03/02","15,855","-435","15,889.67","308.35","23,767,405","375,646","15,945","16,010","15,670"
"2018/02/28","16,290","-420","16,349.27","312.86","13,204,995","217,806","16,610","16,755","16,275"
"2018/02/27","16,710","-75","16,731.32","316.83","13,408,874","227,459","16,970","17,140","16,710"
"2018/02/26","16,785","45","16,836.30","317.34","10,400,985","174,531","16,865","16,920","16,665"
"2018/02/23","16,740","475","16,799.15","316.81","13,381,348","221,948","16,370","16,740","16,370"
"2018/02/22","16,265","-210","16,290.69","312.17","9,026,019","146,730","16,285","16,350","16,110"
"2018/02/21","16,475","205","16,522.70","314.47","12,357,472","202,067","16,320","16,530","16,090"
"2018/02/20","16,270","-430","16,332.26","312.83","12,291,940","201,618","16,575","16,605","16,240"
"2018/02/19","16,700","195","16,753.68","316.61","18,754,612","313,798","16,905","16,965","16,505"
"2018/02/14","16,505","385","16,545.72","314.40","13,907,470","228,608","16,300","16,595","16,300"
"2018/02/13","16,120","250","16,202.06","310.87","24,014,804","389,026","16,100","16,465","15,950"
"2018/02/12","15,870","330","15,901.64","308.13","18,267,176","288,339","15,720","16,000","15,540"
"2018/02/09","15,540","-830","15,518.79","304.83","30,251,675","469,334","15,320","15,665","15,275"
"2018/02/08","16,370","250","16,346.90","311.62","26,091,147","425,462","16,170","16,505","16,035"
"2018/02/07","16,120","-825","16,114.52","310.48","32,122,967","537,837","17,215","17,295","16,110"
"2018/02/06","16,945","-550","16,960.09","318.01","41,553,240","693,454","16,805","17,045","16,340"
"2018/02/05","17,495","-410","17,524.89","323.29","22,071,553","383,498","17,410","17,595","17,225"
"2018/02/02","17,905","-705","17,965.71","327.01","28,679,117","517,098","18,505","18,540","17,815"
"2018/02/01","18,610","-70","18,671.32","333.36","11,695,148","218,409","18,735","18,825","18,540"
"2018/01/31","18,680","75","18,706.71","333.38","20,387,453","383,321","18,430","19,135","18,425"
"2018/01/30","18,605","-490","18,670.41","333.40","14,410,796","271,002","19,005","19,105","18,595"
"2018/01/29","19,095","290","19,188.79","338.05","21,863,999","418,459","18,975","19,240","18,975"
"2018/01/26","18,805","115","18,901.37","335.38","10,316,275","192,883","18,655","18,805","18,565"
"2018/01/25","18,690","335","18,735.80","334.08","19,058,352","354,413","18,295","18,720","18,285"
"2018/01/24","18,355","60","18,421.18","330.91","10,660,803","195,971","18,260","18,515","18,260"
"2018/01/23","18,295","490","18,392.93","330.93","10,238,049","185,670","17,950","18,295","17,920"
