일자,종가,대비,NAV,기초지수,거래량(주),거래대금(백만원),시가,고가,저가
"2017/12/28","12,340","105","12,372.72","1,084.30","1,952","24","12,245","12,345","12,245"
"2017/12/27","12,235","15","12,279.17","1,088.36","853","10","12,235","12,235","12,210"
"2017/12/26","12,220","75","12,213.43","1,091.50","37,395","455","12,165","12,225","12,155"
"2017/12/22","12,145","90","12,144.17","1,094.75","28,756","348","12,115","12,190","12,100"
"2017/12/21","12,055","-45","12,091.02","1,097.18","1,246","15","12,110","12,150","12,055"
"2017/12/20","12,100","95","12,126.01","1,095.36","3,052","36","11,975","12,105","11,975"
"2017/12/19","12,005","80","12,029.84","1,099.62","12,185","145","11,925","12,005","11,925"
"2017/12/18","11,925","5","11,939.72","1,103.98","383","4","11,915","11,960","11,875"
"2017/12/15","11,920","30","11,921.37","1,104.89","2,007","23","11,930","11,940","11,865"
"2017/12/14","11,920","65","11,956.11","1,103.24","2,421","29","11,995","12,010","11,920"
"2017/12/13","11,855","10","11,909.87","1,105.98","1,104","13","11,790","11,865","11,790"
"2017/12/12","11,845","15","11,865.20","1,107.50","2,392","28","11,890","11,920","11,845"
"2017/12/11","11,830","5","11,847.64","1,108.21","221","2","11,835","11,850","11,800"
"2017/12/08","11,825","-5","11,828.88","1,109.22","487","5","11,805","11,835","11,755"
"2017/12/07","11,830","30","11,794.44","1,110.95","3,852","45","11,785","11,865","11,760"
"2017/12/06","11,800","-185","11,819.95","1,109.43","2,842","33","11,935","11,955","11,780"
"2017/12/05","11,985","60","11,997.16","1,101.41","1,570","18","11,965","12,050","11,935"
"2017/12/04","11,925","-50","11,928.93","1,104.45","31,729","380","11,975","11,985","11,880"
"2017/12/01","11,975","70","11,973.74","1,102.53","968","11","11,955","11,995","11,915"
"2017/11/30","11,905","-280","11,942.04","1,104.05","6,426","77","12,075","12,075","11,900"
"2017/11/29","12,185","205","12,204.00","1,091.56","5,337","64","12,025","12,185","12,010"
"2017/11/28","11,980","50","12,013.98","1,100.80","3,180","37","11,875","12,000","11,870"
"2017/11/27","11,930","-80","11,923.02","1,105.27","4,308","51","12,005","12,005","11,920"
"2017/11/24","12,010","20","11,979.73","1,102.53","6,169","74","11,995","12,040","11,965"
"2017/11/23","11,990","90","11,997.77","1,101.61","7,763","92","11,950","12,085","11,880"
"2017/11/22","11,900","145","11,955.88","1,103.34","5,919","70","11,870","11,900","11,800"
"2017/11/21","11,755","80","11,768.07","1,112.27","4,695","55","11,760","11,770","11,690"
"2017/11/20","11,675","-40","11,669.55","1,117.14","2,264","26","11,690","11,775","11,640"
"2017/11/17","11,715","60","11,737.85","1,113.79","17,941","210","11,710","11,820","11,695"
"2017/11/16","11,655","245","11,654.23","1,117.65","22,583","261","11,515","11,680","11,515"
"2017/11/15","11,410","110","11,432.33","1,128.81","13,683","155","11,355","11,410","11,330"
"2017/11/14","11,300","35","11,317.22","1,134.80","7,103","80","11,280","11,325","11,265"
"2017/11/13","11,265","-75","11,243.48","1,138.66","3,493","39","11,275","11,295","11,230"
"2017/11/10","11,340","-10","11,329.01","1,134.29","3,547","40","11,295","11,350","11,295"
"2017/11/09","11,350","-15","11,379.17","1,131.76","2,977","33","11,375","11,410","11,350"
"2017/11/08","11,365","-65","11,382.88","1,131.55","5,319","60","11,385","11,410","11,350"
"2017/11/07","11,430","65","11,449.99","1,128.10","8,056","92","11,800","11,800","11,415"
"2017/11/06","11,365","-40","11,377.65","1,131.86","3,930","44","11,340","11,370","11,300"
"2017/11/03","11,405","25","11,419.70","1,129.73","7,851","89","11,415","11,440","11,395"
"2017/11/02","11,380","15","11,403.35","1,130.44","3,173","36","11,415","11,425","11,375"
"2017/11/01","11,365","110","11,400.82","1,130.33","10,999","124","11,300","11,365","11,280"
"2017/10/31","11,255","90","11,282.05","1,136.42","3,574","40","11,200","11,260","11,200"
"2017/10/30","11,165","90","11,194.52","1,140.89","10,261","114","11,150","11,185","11,130"
"2017/10/27","11,075","-95","11,069.88","1,147.39","8,253","91","11,100","11,110","11,050"
"2017/10/26","11,170","45","11,197.92","1,140.99","18,358","204","11,185","11,185","11,155"
"2017/10/25","11,125","5","11,127.61","1,144.54","5,603","62","11,070","11,130","11,070"
"2017/10/24","11,120","45","11,127.07","1,144.65","10,557","117","11,075","11,120","11,070"
"2017/10/23","11,075","35","11,083.39","1,146.78","6,119","67","10,980","11,075","10,970"
"2017/10/20","11,040","15","11,056.18","1,147.99","9,803","108","11,085","11,100","11,005"
"2017/10/19","11,025","-45","11,050.36","1,148.60","2,218","24","11,045","11,065","11,005"
"2017/10/18","11,070","50","11,080.26","1,146.98","5,947","65","11,070","11,095","11,050"
"2017/10/17","11,020","-110","11,050.55","1,148.71","5,132","56","11,095","11,095","11,020"
"2017/10/16","11,130","30","11,134.86","1,144.24","36,711","409","11,135","11,150","11,100"
"2017/10/13","11,100","75","11,108.72","1,145.56","20,330","225","11,025","11,100","11,005"
"2017/10/12","11,025","45","11,023.85","1,150.16","8,734","96","11,045","11,060","10,960"
"2017/10/11","10,980","20","10,990.99","1,151.82","5,584","61","10,995","11,040","10,935"
"2017/10/10","10,960","160","10,973.07","1,152.73","19,487","212","10,850","10,965","10,835"
"2017/09/29","10,800","65","10,795.64","1,162.27","54,596","588","10,790","10,810","10,770"
"2017/09/28","10,735","-160","10,722.88","1,166.33","30,135","324","10,830","10,835","10,715"
"2017/09/27","10,895","-75","10,889.92","1,157.40","9,015","98","10,925","10,930","10,895"
"2017/09/26","10,970","-95","10,954.14","1,154.15","12,489","137","11,005","11,010","10,960"
"2017/09/25","11,065","105","11,064.61","1,148.47","18,941","209","11,055","11,095","11,040"
"2017/09/22","10,960","-90","10,981.86","1,152.63","9,326","102","11,035","11,040","10,915"
"2017/09/21","11,050","-65","11,052.28","1,148.98","6,649","73","11,035","11,070","11,015"
"2017/09/20","11,115","35","11,139.26","1,144.51","3,139","34","11,070","11,150","11,070"
"2017/09/19","11,080","-85","11,084.31","1,147.15","4,048","44","11,135","11,135","11,070"
"2017/09/18","11,165","100","11,172.02","1,142.69","13,163","146","11,035","11,170","11,035"
"2017/09/15","11,065","15","11,078.64","1,147.56","3,582","39","10,950","11,065","10,950"
"2017/09/14","11,050","-80","11,045.99","1,149.38","8,381","92","11,060","11,065","11,030"
"2017/09/13","11,130","-5","11,132.36","1,144.92","1,402","15","11,130","11,170","11,110"
"2017/09/12","11,135","65","11,146.38","1,144.00","3,544","39","11,095","11,140","11,085"
"2017/09/11","11,070","-85","11,069.15","1,148.47","4,670","51","11,155","11,160","11,070"
"2017/09/08","11,155","65","11,145.08","1,144.51","7,768","86","11,160","11,185","11,120"
"2017/09/07","11,090","85","11,114.56","1,146.03","4,235","46","11,050","11,125","11,050"
"2017/09/06","11,005","-80","11,007.94","1,151.51","7,264","79","11,075","11,075","10,980"
"2017/09/05","11,085","30","11,090.66","1,147.25","2,994","33","11,075","11,110","11,035"
"2017/09/04","11,055","-195","11,068.96","1,148.37","16,663","184","11,115","11,135","11,035"
"2017/09/01","11,250","105","11,254.57","1,139.03","14,418","162","11,245","11,270","11,205"
"2017/08/31","11,145","-80","11,163.77","1,143.60","8,753","97","11,225","11,245","11,145"
"2017/08/30","11,225","40","11,213.38","1,141.16","10,278","115","11,225","11,270","11,210"
"2017/08/29","11,185","-100","11,194.65","1,142.08","26,860","300","11,595","11,595","11,120"
"2017/08/28","11,285","155","11,316.97","1,135.79","22,260","251","11,285","11,310","11,255"
"2017/08/25","11,130","-10","11,144.12","1,144.71","5,315","59","11,120","11,160","11,090"
"2017/08/24","11,140","90","11,141.39","1,144.92","10,519","117","11,150","11,170","11,135"
"2017/08/23","11,050","10","11,077.13","1,148.16","19,372","214","11,060","11,120","11,045"
"2017/08/22","11,040","95","11,025.07","1,150.90","14,417","158","10,970","11,040","10,950"
"2017/08/21","10,945","55","10,937.28","1,155.57","8,074","88","10,930","10,970","10,920"
"2017/08/18","10,890","-90","10,898.15","1,157.60","10,549","114","10,895","10,910","10,845"
"2017/08/17","10,980","85","10,969.17","1,153.85","17,662","194","10,990","11,020","10,955"
"2017/08/16","10,895","-40","10,890.79","1,158.17","28,777","314","10,985","11,015","10,860"
"2017/08/14","10,935","85","10,948.41","1,155.03","27,265","299","10,910","10,995","10,910"
"2017/08/11","10,850","-40","10,844.71","1,160.81","7,893","85","10,830","10,850","10,765"
"2017/08/10","10,890","-135","10,877.78","1,158.99","15,974","173","10,930","10,970","10,835"
"2017/08/09","11,025","-185","11,029.07","1,150.97","14,286","157","11,055","11,065","10,980"
"2017/08/08","11,210","30","11,203.59","1,142.25","920","10","11,180","11,245","11,170"
